11000;Yang;Jon;Jon Yang;Male;2017-01-19;Rockhampton;Australia
11001;Huang;Eugene;Eugene Huang;Male;2017-01-15;Seaford;Australia
11002;Torres;Ruben;Ruben Torres;Male;2017-01-07;Hobart;Australia
11003;Zhu;Christy;Christy Zhu;Female;2016-12-29;North Ryde;Australia
11004;Johnson;Elizabeth;Elizabeth Johnson;Female;2017-01-23;Wollongong;Australia
11005;Ruiz;Julio;Julio Ruiz;Male;2016-12-30;East Brisbane;Australia
11006;Alvarez;Janet;Janet Alvarez;Female;2017-01-24;Matraville;Australia
11007;Mehta;Marco;Marco Mehta;Male;2017-01-09;Warrnambool;Australia
11008;Verhoff;Rob;Rob Verhoff;Female;2017-01-25;Bendigo;Australia
11009;Carlson;Shannon;Shannon Carlson;Male;2017-01-27;Hervey Bay;Australia
11010;Suarez;Jacquelyn;Jacquelyn Suarez;Female;2017-01-14;East Brisbane;Australia
11011;Lu;Curtis;Curtis Lu;Male;2016-12-30;East Brisbane;Australia
11012;Walker;Lauren;Lauren Walker;Female;2019-03-16;Bremerton;United States
11013;Jenkins;Ian;Ian Jenkins;Male;2019-04-13;Lebanon;United States
11014;Bennett;Sydney;Sydney Bennett;Female;2019-03-23;Redmond;United States
11015;Young;Chloe;Chloe Young;Female;2019-01-18;Burbank;United States
11016;Hill;Wyatt;Wyatt Hill;Male;2019-02-09;Imperial Beach;United States
11017;Wang;Shannon;Shannon Wang;Female;2017-01-12;Sunbury;Australia
11018;Rai;Clarence;Clarence Rai;Male;2017-01-17;Bendigo;Australia
11019;Lal;Luke;Luke Lal;Male;2019-02-12;Langley;Canada
11020;King;Jordan;Jordan King;Male;2018-12-29;Metchosin;Canada
11021;Wilson;Destiny;Destiny Wilson;Female;2019-01-23;Beaverton;United States
11022;Zhang;Ethan;Ethan Zhang;Male;2019-01-20;Bellingham;United States
11023;Edwards;Seth;Seth Edwards;Male;2019-02-17;Bellflower;United States
11024;Xie;Russell;Russell Xie;Male;2019-06-27;Concord;United States
11025;Beck;Alejandro;Alejandro Beck;Male;2017-01-06;Hawthorne;Australia
11026;Sai;Harold;Harold Sai;Male;2017-01-23;Goulburn;Australia
11027;Zhao;Jessie;Jessie Zhao;Male;2017-01-16;Warrnambool;Australia
11028;Jimenez;Jill;Jill Jimenez;Female;2017-01-26;St. Leonards;Australia
11029;Moreno;Jimmy;Jimmy Moreno;Male;2017-01-19;Bendigo;Australia
11030;Yuan;Bethany;Bethany Yuan;Female;2017-02-05;Cloverdale;Australia
11031;Ramos;Theresa;Theresa Ramos;Female;2017-02-01;Matraville;Australia
11032;Stone;Denise;Denise Stone;Female;2017-02-18;Melbourne;Australia
11033;Nath;Jaime;Jaime Nath;Male;2017-02-15;Milsons Point;Australia
11034;Gonzalez;Ebony;Ebony Gonzalez;Female;2017-02-01;North Sydney;Australia
11035;Dominguez;Wendy;Wendy Dominguez;Female;2017-02-06;Cranbourne;Australia
11036;Russell;Jennifer;Jennifer Russell;Female;2019-01-22;National City;United States
11037;Garcia;Chloe;Chloe Garcia;Female;2019-01-20;Cliffside;Canada
11038;Hernandez;Diana;Diana Hernandez;Female;2017-02-07;Lavender Bay;Australia
11039;Martin;Marc;Marc Martin;Male;2017-02-07;Wollongong;Australia
11040;Murphy;Jesse;Jesse Murphy;Male;2019-04-03;Tacoma;United States
11041;Carter;Amanda;Amanda Carter;Female;2019-01-14;Glendale;United States
11042;Sanchez;Megan;Megan Sanchez;Female;2019-01-21;Los Angeles;United States
11043;Simmons;Nathan;Nathan Simmons;Male;2019-05-08;Glendale;United States
11044;Flores;Adam;Adam Flores;Male;2017-02-28;Hervey Bay;Australia
11045;Nara;Leonard;Leonard Nara;Male;2019-04-10;Matraville;Australia
11046;Yuan;Christine;Christine Yuan;Female;2017-02-06;Lavender Bay;Australia
11047;Lu;Jaclyn;Jaclyn Lu;Female;2017-02-03;Geelong;Australia
11048;Powell;Jeremy;Jeremy Powell;Male;2017-02-10;Sunbury;Australia
11049;Rai;Carol;Carol Rai;Female;2019-03-09;Chula Vista;United States
11050;Zheng;Alan;Alan Zheng;Male;2017-02-20;Hobart;Australia
11051;Johnson;Daniel;Daniel Johnson;Male;2019-12-29;Caloundra;Australia
11052;Lopez;Heidi;Heidi Lopez;Female;2017-02-17;Matraville;Australia
11053;Price;Ana;Ana Price;Female;2019-01-17;San Diego;United States
11054;Munoz;Deanna;Deanna Munoz;Female;2017-02-03;Geelong;Australia
11055;Raje;Gilbert;Gilbert Raje;Male;2017-01-31;East Brisbane;Australia
11056;Nath;Michele;Michele Nath;Female;2017-02-26;Newcastle;Australia
11057;Andersen;Carl;Carl Andersen;Male;2017-02-22;Lane Cove;Australia
11058;Diaz;Marc;Marc Diaz;Male;2017-03-09;Findon;Australia
11059;Andersen;Ashlee;Ashlee Andersen;Female;2019-02-18;Townsville;Australia
11060;Zhou;Jon;Jon Zhou;Male;2017-03-19;Warrnambool;Australia
11061;Gao;Todd;Todd Gao;Male;2017-03-13;Gold Coast;Australia
11062;Powell;Noah;Noah Powell;Male;2019-01-07;Portland;United States
11063;Murphy;Angela;Angela Murphy;Female;2019-01-12;Redmond;United States
11064;Reed;Chase;Chase Reed;Male;2019-01-25;Downey;United States
11065;Henderson;Jessica;Jessica Henderson;Female;2019-02-10;La Jolla;United States
11066;Butler;Grace;Grace Butler;Female;2019-05-31;Lebanon;United States
11067;Carter;Caleb;Caleb Carter;Male;2019-08-18;Port Orchard;United States
11068;Liang;Tiffany;Tiffany Liang;Female;2019-04-30;Warrnambool;Australia
11069;Navarro;Carolyn;Carolyn Navarro;Female;2017-04-17;Gold Coast;Australia
11070;Raji;Willie;Willie Raji;Male;2017-04-28;Sunbury;Australia
11071;Serrano;Linda;Linda Serrano;Female;2019-03-01;Hawthorne;Australia
11072;Luo;Casey;Casey Luo;Female;2017-03-31;St. Leonards;Australia
11073;Ye;Amy;Amy Ye;Female;2019-03-23;Springwood;Australia
11074;Arun;Levi;Levi Arun;Male;2019-03-23;Cloverdale;Australia
11075;Jimenez;Felicia;Felicia Jimenez;Female;2017-04-28;Bendigo;Australia
11076;Anderson;Blake;Blake Anderson;Male;2017-04-21;Wollongong;Australia
11077;Ye;Leah;Leah Ye;Female;2017-04-15;Melton;Australia
11078;Martin;Gina;Gina Martin;Female;2019-02-15;Cliffside;Canada
11079;Gonzalez;Donald;Donald Gonzalez;Male;2019-03-15;Geelong;Australia
11080;Chander;Damien;Damien Chander;Male;2017-04-10;Perth;Australia
11081;Baker;Savannah;Savannah Baker;Female;2019-02-12;Concord;United States
11082;Butler;Angela;Angela Butler;Female;2019-01-22;Fremont;United States
11083;Cox;Alyssa;Alyssa Cox;Female;2019-01-06;Lincoln Acres;United States
11084;Phillips;Lucas;Lucas Phillips;Male;2019-01-04;Lebanon;United States
11085;Johnson;Emily;Emily Johnson;Female;2019-12-06;Newport Beach;United States
11086;Brown;Ryan;Ryan Brown;Male;2019-07-02;Santa Monica;United States
11087;Liang;Tamara;Tamara Liang;Female;2019-02-25;Chula Vista;United States
11088;Davis;Hunter;Hunter Davis;Male;2019-01-13;San Diego;United States
11089;Price;Abigail;Abigail Price;Female;2018-12-29;Long Beach;United States
11090;Bryant;Trevor;Trevor Bryant;Male;2017-08-07;Los Angeles;United States
11091;Perez;Dalton;Dalton Perez;Male;2019-01-29;Haney;Canada
11092;Diaz;Cheryl;Cheryl Diaz;Female;2017-04-08;East Brisbane;Australia
11093;He;Aimee;Aimee He;Female;2017-04-07;Wollongong;Australia
11094;Ma;Cedric;Cedric Ma;Male;2019-04-07;Cranbourne;Australia
11095;Kumar;Chad;Chad Kumar;Male;2017-04-01;Port Macquarie;Australia
11096;Anand;Andrés;Andrés Anand;Male;2017-04-11;North Sydney;Australia
